,ACO_ID,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Current_Track_1_Plus,Current_BASIC_A,Current_BASIC_B,Current_BASIC_C,Current_BASIC_D,Current_BASIC_E,Current_ENHANCED,Risk_Model,Assign_Type,Adv_Pay,AIM,SNF_Waiver,N_AB,Sav_Rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,EarnSaveLoss,DisAffQual,Met_QPS,Report_WI,Report_eCQM,Report_CQM,Report_Inc,QualScore,Recvd30p,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,MaxShareRate,FinalShareRate,RevLossLimit,Rev_Exp_Cat,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,P_SNF_ADM,SNF_LOS,SNF_PayperStay,N_CAH,N_FQHC,N_RHC,N_ETA,N_Hosp,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,Perc_Dual,Perc_CovDiag,Perc_CovEpisode,Perc_LTI,CAHPS_1,CAHPS_2,CAHPS_3,CAHPS_4,CAHPS_5,CAHPS_6,CAHPS_7,CAHPS_11,CAHPS_9,CAHPS_8,Measure_479,Measure_MCC1,QualityID_318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_134_eCQM-CQM,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_001_eCQM-CQM,QualityID_236_WI,QualityID_236_eCQM-CQM,lat,long,ACO_identifier
0,A1001,Palm Beach Accountable Care Organization,"FL, NY",Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,Retrospective,0,0,1,"89,403",7.17%,2.00%,"84,231,357","84,231,357",,"61,910,047",1,1,1,0,0,0,100.00%,0,1,"13,445","12,845","1,175,345,650","1,091,114,293",,,75.00%,75.00%,0,Low Revenue,"84,562","11,583","16,349","11,286","86,465","11,502","15,758","11,515","93,775","12,204","15,881","11,662","85,072","11,418","15,271","11,917","12,482",1.019,1.094,1.058,1.152,1.029,1.028,1.033,1.138,1.047,1.038,1.052,1.147,1.014,1.075,1.128,1.158,497,"4,627","5,290","82,650","87,416",511,"3,286","4,066","79,553","5,359","38,659","31,798","13,587","51,413","37,990","78,646","3,756",609,"2,558",30,"3,804","2,587","2,304",35,249,24,234,376,"1,928","6,317",78,632,540,237,221,1,12,3,499,187,815,405,"15,707","5,960","8,547","1,181",19,34,22,"11,010",0,0,0,0,0,0,577,699,416,140,0,6.48%,5.56%,1.25%,0.24%,83.33,93.19,92.53,76,65.15,63.58,74.89,19.24,90.29,87.97,0.1648,27.83,94.75,94.19,100,91.14,,90.08,91.06,96.25,26.32,3.09,,91.57,,26.6424135,-80.0874468,
1,A1006,Hackensack Alliance ACO,"NJ, NY",Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,Retrospective,0,0,0,"34,878",-1.15%,2.35%,"-5,179,851",0,,0,1,1,1,0,0,0,91.81%,0,0,"13,285","12,649","451,411,182","456,591,034",,,40.00%,40.00%,0,Low Revenue,"94,040","12,699","15,693","11,027","89,994","13,040","17,368","11,594","104,675","12,373","18,232","11,508","107,433","14,614","20,721","12,180","13,438",1.012,1.047,0.987,1.06,1.024,1.008,1.021,1.04,1.018,0.98,1.021,1.015,1.023,1.015,0.981,0.982,256,"2,214","2,217","30,356","33,979",195,"1,927","2,278","29,578","2,904","15,645","11,018","5,311","20,860","14,018","28,139","2,111","1,415",958,13,"2,242","3,415","3,103",41,230,76,210,"1,294","3,041","4,942",99,574,207,250,235,1,10,4,499,202,696,303,"12,678","4,193","7,432","1,051",2,63,30,"20,192",0,0,0,0,1,3,528,756,253,158,4,9.39%,7.21%,1.47%,2.06%,87.11,95.24,93.77,81.72,61.21,55.95,71.21,23.82,92.39,86.92,0.1583,37.3,95.56,87.67,93.33,85.69,,75.95,80.51,88.89,10.26,7.52,,80.05,,40.8836961,-74.0541551,
2,A1023,"Arizona Connected Care, LLC",AZ,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,Prospective,0,0,0,"9,039",-2.63%,3.10%,"-2,276,479",0,,0,1,1,1,0,0,0,81.05%,0,1,"9,787","9,958","86,584,134","88,860,613",,,40.00%,40.00%,0,Low Revenue,"73,493","9,686","7,694","8,393","74,103","9,992","8,015","8,790","85,092","8,621","7,490","8,988","79,833","8,842","10,440","9,544","10,045",0.98,1.101,0.691,0.973,1.019,1.023,0.695,0.995,0.997,1.029,0.705,1.001,1.015,0.977,0.766,0.95,47,587,325,"2,982","8,847",64,682,439,"7,660",751,"4,577","2,875",836,"5,271","3,768","7,844",195,102,288,273,337,"2,696","2,266",125,271,84,296,415,"2,021","4,113",134,368,321,231,204,4,15,8,569,147,706,261,"9,846","2,066","4,423","1,778","1,579",36,24,"12,521",0,34,0,0,0,0,257,94,234,9,0,8.83%,5.81%,1.68%,0.19%,78.51,92.46,91.54,72.95,63.08,59.76,71.49,19.7,88.42,83.68,0.1506,33.67,62,64.18,73.08,58.83,,53.71,67.11,67.8,10.94,16.06,,65.31,,32.220883,-110.880718,
3,A1026,Atlantic ACO,"NJ, PA",Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,Retrospective,0,0,1,"37,691",-0.86%,2.32%,"-3,766,938",0,,0,1,1,1,0,0,0,92.13%,0,1,"11,998","11,364","440,575,023","444,341,960",,,50.00%,50.00%,1,High Revenue,"98,543","10,027","15,304","9,730","94,181","10,437","15,510","10,274","95,991","11,516","17,457","10,807","88,917","13,222","18,677","11,425","12,101",1.008,0.926,0.997,0.988,1.008,0.908,1.033,0.989,0.976,0.933,0.997,0.993,0.955,0.985,1.007,0.968,189,"3,002","1,470","37,079","36,720",140,"2,568","1,294","32,718","3,661","17,399","11,653","4,978","21,287","16,404","32,306","1,861",906,503,7,"2,108","3,337","2,971",16,321,67,198,852,"2,806","4,660",81,372,196,250,232,1,13,5,484,197,686,256,"11,586","3,861","6,547","1,176",3,52,26,"16,250",0,0,0,0,5,5,556,618,265,113,1,6.90%,6.50%,1.46%,1.03%,84.92,95.06,94.15,79.47,63.69,60.92,75.21,23.14,91.19,87.9,0.1458,36.44,79.21,87.07,72.22,62.29,,83.06,75.99,77.78,4.35,13.79,,72.11,,40.7744064,-74.468957,
4,A1027,"Florida Physicians Trust, LLC",FL,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,Prospective,0,0,1,"10,500",4.82%,2.97%,"6,550,298","6,550,298",,"3,209,646",1,1,1,0,0,0,91.44%,0,1,"13,303","13,136","135,787,947","129,237,648",,,50.00%,50.00%,1,Low Revenue,"85,868","11,464","20,325","11,127","92,792","10,959","19,831","11,161","102,019","11,287","20,531","11,315","89,749","10,027","21,104","11,546","12,661",1.06,1.129,1.123,1.202,1.11,1.109,1.198,1.181,1.09,1.1,1.135,1.206,1.053,1.091,1.196,1.269,102,"1,261",834,"9,591","10,208",87,743,595,"8,783",815,"4,498","3,612","1,575","5,951","4,549","8,628",974,187,273,3,435,"3,317","2,899",104,321,33,484,776,"1,936","5,274",109,803,301,342,319,3,15,4,658,273,836,312,"13,904","6,007","5,790","1,903",203,58,27,"12,557",0,0,1,0,0,0,98,8,60,19,0,9.17%,7.01%,2.22%,1.56%,84.39,93.27,92.72,80.76,66.91,62.21,75.18,24.88,92.26,85.3,0.1598,36.95,90.36,90.13,90.32,81.93,,82.94,78.21,84.41,18.75,9.21,,77.07,,28.6036053,-81.3056106,
5,A1032,"Premier ACO Physicians Network, LLC",CA,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,Prospective,0,0,0,"6,013",5.08%,3.60%,"4,748,154","4,748,154",,"1,861,276",1,1,1,0,0,0,87.82%,0,1,"15,929","14,935","93,411,559","88,663,405",,,40.00%,40.00%,0,Low Revenue,"100,434","12,984","19,468","11,401","97,602","12,159","17,841","11,406","95,990","12,985","17,456","11,650","93,047","15,330","18,455","12,391","15,119",1.009,1.185,1.12,1.179,1.04,1.186,1.161,1.136,1.045,1.222,1.104,1.143,1.047,1.224,1.053,1.071,96,608,936,"4,480","5,864",103,501,"1,022","4,238",577,"2,679","1,969",788,"3,400","2,613","4,158",527,447,403,7,471,"4,010","3,394",242,368,89,635,"1,254","2,519","5,716",109,"1,059",328,274,250,5,13,6,511,211,591,271,"11,978","4,258","6,975",702,43,55,35,"23,102",0,0,0,0,0,0,134,194,74,32,0,25.34%,6.30%,1.93%,1.40%,84.78,93.15,91.64,78.16,58.45,55.43,69.97,19.76,91.62,84.26,0.1498,29.31,72.11,77.21,57.89,54.46,,68.44,74.6,72.78,11.9,17.38,,67.95,,32.9405379,-96.8227902,
6,A1033,"Advocate Physician Partners Accountable Care, Inc.",IL,Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,Prospective,0,0,1,"98,212",4.75%,0.00%,"56,906,719","56,906,719",,"27,884,292",1,1,1,0,0,0,89.00%,0,1,"12,476","11,869","1,197,193,281","1,140,286,563",,,50.00%,50.00%,1,High Revenue,"89,476","9,964","18,369","9,876","88,824","10,346","17,168","10,160","96,994","10,871","17,716","10,439","94,837","10,864","18,516","10,809","11,883",1.02,0.981,1.034,1.05,1.036,0.977,1.031,1.032,1.053,0.983,1.033,1.034,1.039,1.013,1.06,1.063,767,"9,507","6,013","85,489","95,962",674,"7,249","5,973","82,067","7,823","45,852","31,408","13,129","56,634","41,578","78,334","11,046","2,421","1,958",41,"4,412","3,283","2,956",49,271,43,357,826,"2,495","4,337",124,590,259,294,277,1,11,4,572,236,731,250,"10,857","4,344","4,826","1,645",43,62,24,"13,478",0,11,0,0,7,5,"1,731","2,842","1,290",365,27,10.24%,5.62%,1.84%,1.30%,82.32,93.13,90.62,74.66,69.19,62.85,72.57,29.75,89.94,84.37,0.1612,39.49,93.84,87.85,92.59,90.43,,71.07,77.26,89.91,2.56,10.76,,79.14,,42.047633,-87.9624248,
7,A1037,"RGV ACO Health Providers, LLC","TX, IA, MN",Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,Prospective,1,0,1,"9,624",5.17%,2.00%,"6,099,456","6,099,456",,"4,483,100",1,1,1,0,0,0,99.93%,0,1,"12,659","12,895","118,071,135","111,971,679",0,0,75.00%,75.00%,0,Low Revenue,"72,376","8,672","12,168","8,847","74,306","10,223","12,745","9,176","81,089","11,074","13,543","9,531","74,920","11,015","13,735","10,201","12,005",1.033,1.097,0.99,1.1,1.042,1.137,1.047,1.08,1.066,1.195,1.109,1.113,1.033,1.208,1.236,1.249,252,"1,135","2,727","6,774","9,327",155,746,"1,750","6,676",860,"3,846","3,380","1,538","5,722","3,902","7,994",115,43,"1,230",9,233,"3,293","2,483",154,687,14,651,582,"2,178","4,498",182,717,276,293,251,7,33,2,583,209,637,201,"13,455","7,428","4,378","1,547",102,44,30,"13,671",0,0,0,0,0,0,51,0,43,26,0,24.44%,7.93%,2.18%,1.27%,78.56,91.82,89.75,67.43,60.78,56.11,69.52,24.6,86.65,81.38,0.1436,25.36,96.55,95.56,96.88,84.44,,77.65,74.3,92.49,39.33,6.97,,88.01,,26.1875076,-98.0398249,
8,A1041,"West Florida ACO, LLC",FL,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,Retrospective,0,0,1,"16,941",7.77%,2.00%,"16,121,349","16,121,349",,"11,849,191",1,1,1,0,0,0,93.71%,0,1,"12,573","12,284","207,460,237","191,338,889",,,75.00%,75.00%,0,Low Revenue,"92,602","10,800","17,590","10,207","80,578","10,938","17,396","10,324","94,012","10,992","17,412","10,667","83,283","10,721","17,084","10,864","11,596",1.072,1.166,1.161,1.187,1.079,1.103,1.137,1.183,1.053,1.108,1.127,1.213,1.088,1.116,1.139,1.255,112,"1,799","1,017","16,155","16,500",102,"1,138",786,"14,474","1,525","7,518","5,593","2,305","9,604","7,337","15,119",709,285,175,8,645,"3,017","2,608",84,347,22,241,640,"1,545","5,365",95,605,349,305,282,2,17,4,568,248,799,291,"13,186","5,642","6,118","1,397",29,55,23,"11,087",0,0,0,0,0,0,165,7,74,43,0,8.25%,5.76%,1.72%,1.06%,86.7,94.47,92.27,79.08,67.74,63.31,73.1,26.54,91.45,86.23,0.1606,32.46,88.83,78.45,96.08,84.65,,80.39,73.21,89.87,33.33,8.85,,82.63,,28.2093722,-82.6669823,
9,A1051,"Coastal Carolina Quality Care, Inc.",NC,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,Prospective,1,0,0,"11,063",8.92%,1.00%,"10,487,442","10,487,442",,"7,708,270",1,1,1,0,0,0,100.00%,0,1,"10,884","10,393","117,623,817","107,136,375",0,0,75.00%,75.00%,0,Low Revenue,"70,892","10,225","12,916","8,999","76,104","9,058","13,020","8,880","73,867","10,263","14,943","9,371","60,839","9,587","17,804","9,582","9,913",1.009,1.162,1.132,1.083,1.023,1.033,1.048,1.037,1.041,1.146,1.161,1.181,1.149,1.134,1.262,1.259,22,805,435,"10,004","10,807",19,598,316,"9,874",645,"5,408","3,665","1,345","6,201","4,862","9,565","1,187",35,12,8,256,"2,400","2,173",24,197,9,279,383,"2,352","4,018",67,312,245,211,198,1,11,1,442,157,848,248,"11,912","5,136","4,129","2,621",26,29,31,"12,978",0,0,0,0,0,0,39,69,30,36,0,4.66%,6.58%,1.78%,1.22%,84.84,93.82,92.36,77.27,69.25,63.5,69.16,26.34,93.62,87.38,0.1388,26.1,97.46,93.7,94.12,89.58,,90.83,93.47,91.23,31.58,5.32,,88.84,,35.1055127,-77.0930665,
