ACO_Name,ACO_ID,year,ACO_State,Sav_Rate,MaxShareRate,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_HHA,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,P_EDV_Vis,P_EDV_Vis_HOSP,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,GenSaveLoss,FinalShareRate,P_SNF_ADM,QualScore,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,QualityID318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_236_WI,N_AB,N_PCP,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Other,N_Ben_Race_Hisp,N_Ben_Race_Asian,N_Ben_Race_White
"Palm Beach Accountable Care Organization, LLC",A1001,2018,FL,10.4911788,,3184,2808,106,258,45,252,722,918,319,296,3,14,645,242,14861,5649,8412,112523299,0.4542,63,90.84,88.33,92.18,90.93,83.54,64.51,60.15,75.18,23.39,,,15.76,52.75,1.74,92.88,90.1,92.86,90.07,90.27,90.8,90.52,22.95,7.17,83.21,77372,442,462,3183,2505,3183,462,67143
Palm Beach Accountable Care Organization,A1001,2020,FL,7.57,,2514,2219,55,233,29,245,389,658,237,220,1,12,452,183,15065,6291,7776,72427998,0.75,35,100.0,^,^,^,^,^,^,^,^,^,^,~,~,0.91,91.19,90.12,94.87,86.08,87.15,90.08,93.93,42.86,6.83,92.03,80864,466,484,2558,3122,2558,484,71224
Palm Beach Accountable Care Organization,A1001,2019,FL,10.9,,3111,2750,95,261,36,243,603,838,297,276,2,13,611,222,15958,6530,8525,57047752,0.49,54,98.06,86.88,94.26,93.05,79.74,66.06,66.16,73.08,27.88,89.81,86.18,15.3,48.41,1.62,93.41,90.82,91.3,86.94,85.15,87.79,91.51,25,5.63,90.23,74707,,3649,2866,2744,2866,3649,64957
Palm Beach Accountable Care Organization,A1001,2021,"FL, NY",7.17,75.00%,"2,587","2,304",35,249,24,234,376,632,237,221,1,12,499,187,"15,707","5,960","8,547","84,231,357",75.00%,34,100.00,,,,,,,,,,,,,,,94.19,100,91.14,90.08,91.06,96.25,26.32,3.09,91.57,"89,403",577,609,"2,558","3,804","2,558",609,"78,646"
CCACO,A1002,2019,"NY, NJ",15.75,,2488,2318,11,97,66,110,780,261,179,172,1,3,309,149,16639,10460,5771,7735804,0.47,33,93.13,85.03,88.64,87.6,82.2,54.4,68.32,69.68,25.76,84.61,81.2,14.62,37.48,1.08,76.83,72.46,65,82.06,60.17,50.91,76.07,42.86,14.11,72.1,8702,,133,58,1706,58,133,479
CCACO,A1002,2018,"NY, NJ",13.242665800000001,,2258,2133,3,86,38,121,574,263,169,163,0,4,290,142,14779,8847,5604,12171874,0.4252,24,85.03,86.84,90.76,91.0,80.99,53.24,59.3,68.71,30.22,,,14.78,34.88,1.21,75.24,76.67,94.12,62.42,59.97,50.66,78.82,0,9.08,75.22,9139,108,6881,59,1618,59,6881,449
Hackensack Alliance ACO,A1006,2021,"NJ, NY",-1.15,40.00%,"3,415","3,103",41,230,76,210,"1,294",574,250,235,1,10,499,202,"12,678","4,193","7,432",0,40.00%,63,91.81,,,,,,,,,,,,,,,87.67,93.33,85.69,75.95,80.51,88.89,10.26,7.52,80.05,"34,878",528,"1,415",958,"2,242",958,"1,415","28,139"
Hackensack Alliance ACO,A1006,2019,"NJ, NY",4.2,,3832,3468,65,238,107,234,1214,561,290,272,1,10,593,218,12446,4237,7478,9933568,0.46,76,92.17,86.51,95.01,94.07,84.55,63.19,62.13,73.25,21.8,91.79,87.8,15.54,59.47,1.64,90.76,82.19,100,87.9,75.89,75.97,83.54,21.88,9.9,81.75,34989,,2276,983,2009,983,2276,28567
Hackensack Alliance ACO,A1006,2018,"NJ, NY",10.1345287,,3243,2950,41,185,95,168,936,478,263,247,1,8,573,202,11551,3686,7176,49345826,0.4468,61,89.37,85.22,93.76,93.44,80.04,63.29,61.56,73.4,26.2,,,15.53,56.57,1.85,90.91,83.22,94.74,83.39,70.65,74.81,83.36,12.31,13.52,74.79,38660,483,1032,1442,2040,1442,1032,31484
Hackensack Alliance ACO,A1006,2020,"NJ, NY",-0.5,,3119,2818,30,207,91,216,1235,533,248,232,1,8,454,197,11500,4011,6683,0,0.39,66,97.81,^,^,^,^,^,^,^,^,^,^,~,~,0.72,92.6,80,100,79.86,76,76.89,87.18,14.29,8.53,80.09,33798,464,1162,942,1983,942,1162,27545
